Survived,Pclass,Age,SibSp,Parch,Fare,female,male,C,Q,S
0.0,3,22.0,1,0,2.1102132003465894,0,1,0,0,1
1.0,1,38.0,1,0,4.2805931204649,1,0,1,0,0
1.0,3,26.0,0,0,2.188856327665703,1,0,0,0,1
1.0,1,35.0,1,0,3.9908341858524357,1,0,0,0,1
0.0,3,35.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.246892662898172,0,1,0,1,0
0.0,1,54.0,0,0,3.967694202798607,0,1,0,0,1
0.0,3,2.0,3,1,3.0944457464900235,0,1,0,0,1
1.0,3,27.0,0,2,2.495953738718064,1,0,0,0,1
1.0,2,14.0,1,0,3.436268471383741,1,0,1,0,0
1.0,3,4.0,1,1,2.8735646395797834,1,0,0,0,1
1.0,1,58.0,0,0,3.3160025355989236,1,0,0,0,1
0.0,3,20.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,39.0,1,5,3.4742929367327062,0,1,0,0,1
0.0,3,14.0,0,0,2.180891922715322,1,0,0,0,1
1.0,2,55.0,0,0,2.833213344056216,1,0,0,0,1
0.0,3,2.0,4,1,3.405355391810819,0,1,0,1,0
1.0,2,29.881137667304014,0,0,2.6390573296152584,0,1,0,0,1
0.0,3,31.0,1,0,2.9444389791664403,1,0,0,0,1
1.0,3,29.881137667304014,0,0,2.1071782966514356,1,0,1,0,0
0.0,2,35.0,0,0,3.295836866004329,0,1,0,0,1
1.0,2,34.0,0,0,2.6390573296152584,0,1,0,0,1
1.0,3,15.0,0,0,2.2004637699272855,1,0,0,1,0
1.0,1,28.0,0,0,3.597312260588446,0,1,0,0,1
0.0,3,8.0,3,1,3.0944457464900235,1,0,0,0,1
1.0,3,38.0,1,5,3.4777725458882283,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1071782966514356,0,1,1,0,0
0.0,1,19.0,3,2,5.575949103146316,0,1,0,0,1
1.0,3,29.881137667304014,0,0,2.1837114628556327,1,0,0,1,0
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
0.0,1,40.0,0,0,3.357621598945279,0,1,1,0,0
1.0,1,29.881137667304014,1,0,4.993969182787072,1,0,1,0,0
1.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
0.0,2,66.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,1,28.0,1,0,4.420896324687287,0,1,1,0,0
